timestamp,message,logStreamName
1.65617E+12,"[ERROR] NameError: name 'confirmation_context' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 689, in lambda_handler
    return dispatch(event)
  File ""/var/task/lambda_function.py"", line 673, in dispatch
    return book_flight(intent_request)
  File ""/var/task/lambda_function.py"", line 416, in book_flight
    or confirmation_context == 'AutoPopulate':",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"END RequestId: 10c2221e-b7bb-4df3-9abc-572c1f64d775
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"REPORT RequestId: 10c2221e-b7bb-4df3-9abc-572c1f64d775	Duration: 1.45 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"START RequestId: 5120b11f-4a74-4781-9bf1-4aa35be66445 Version: $LATEST
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"[DEBUG]	2022-06-25T14:33:42.365Z	5120b11f-4a74-4781-9bf1-4aa35be66445	event.bot.name=BookTrip
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"[DEBUG]	2022-06-25T14:33:42.366Z	5120b11f-4a74-4781-9bf1-4aa35be66445	dispatch userId=John, intentName=BookFlight
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"END RequestId: 5120b11f-4a74-4781-9bf1-4aa35be66445
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"REPORT RequestId: 5120b11f-4a74-4781-9bf1-4aa35be66445	Duration: 2.03 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	Init Duration: 144.56 ms	
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"START RequestId: e4f5999d-9de1-43a8-8e74-e6586758af6d Version: $LATEST
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"[DEBUG]	2022-06-25T14:38:06.497Z	e4f5999d-9de1-43a8-8e74-e6586758af6d	event.bot.name=Jarvis
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"[DEBUG]	2022-06-25T14:38:06.497Z	e4f5999d-9de1-43a8-8e74-e6586758af6d	dispatch userId=qldnybonhmal3umzc57i1kkc2uhxnkv3, intentName=BookFlight
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"END RequestId: e4f5999d-9de1-43a8-8e74-e6586758af6d
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"REPORT RequestId: e4f5999d-9de1-43a8-8e74-e6586758af6d	Duration: 1.46 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"START RequestId: d46fb510-207d-4a95-9e1d-74f02d35880e Version: $LATEST
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"[DEBUG]	2022-06-25T14:38:12.612Z	d46fb510-207d-4a95-9e1d-74f02d35880e	event.bot.name=Jarvis
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
1.65617E+12,"[DEBUG]	2022-06-25T14:38:12.612Z	d46fb510-207d-4a95-9e1d-74f02d35880e	dispatch userId=qldnybonhmal3umzc57i1kkc2uhxnkv3, intentName=BookFlight
",2022/06/25/[$LATEST]f9fb3b91c32a47078976ca5e04951305
